Equipment,Family_type,Scaling_quantity,Unit,Min_Scale,Max_Scale,Min_Cost,Max_Cost,Scaling_Factor,CEPCI
Agitator and mixer,propeller,driver power,kW,5,75,20365,107140,0.61,509.70
Agitator and mixer,spiral ribbon mixer,driver power,kW,5,35,29750,161750,0.87,509.70
Agitator and mixer,static mixer,flowrate,liters/s,1,50,1530,5425,0.32,509.70
Boiler,"packaged, 15 to 40 bar",steam mass flowrate,kg/h ,5000,200000,149500,1846000,0.68,509.70
Boiler,"field erected, 10 to 70 bar",steam mass flowrate,kg/h ,20000,800000,444302,9356843,0.83,509.70
Centrifuge,high speed disk,diameter,m,0.3,0.5,214749,306731,0.56,509.70
Centrifuge,atmospheric suspended basket,power,kW,2,20,58867,116032,0.29,509.70
Compressor,blower,flowrate,m³/h,200,5000,7196,48404,0.59,509.70
Compressor,centrifugal,driver power,kW,75,30000,714051,8647969,0.42,509.70
Compressor,reciprocating,driver power,kW,93,16800,288880,3613984,0.49,509.70
Conveyor,"belt, .5 m wide",length,m,10,500,42400,356000,0.54,509.70
Conveyor,"belt, 1 m wide",length,m,10,500,51600,620000,0.64,509.70
Conveyor,"bucket elevator, .5 m bucket",height,m,10,30,38000,84000,0.72,509.70
Crusher,reversible hammer mill,mass flowrate,t/h,30,400,79200,316000,0.53,509.70
Crusher,pulverizers,mass flowrate,kg/h,200,4000,22344,51315,0.28,509.70
Crystallizer,scraped surface crystallizer,length,m,7,280,61999,1033591,0.76,509.70
Dryer,direct contact rotary,area,m²,11,180,91758,987511,0.85,509.70
Dryer,atmospheric tray batch,area,m²,3,20,20478,39111,0.34,509.70
Dryer,spray dryer,evaporation rate,kg/h,400,4000,475949,981242,0.31,509.70
Evaporator,vertical tube,area,m²,11,640,114322,1066137,0.55,509.70
Evaporator,agitated falling film,area,m²,0.5,12,108298,436055,0.44,509.70
Exchanger,U-tube shell and tube,area,m²,10,1000,24729,207129,0.46,509.70
Exchanger,double pipe,area,m²,1,80,3700,169600,0.87,509.70
Exchanger,thermosyphon reboiler,area,m²,10,500,27309,122806,0.38,509.70
Exchanger,U-tube kettle reboiler,area,m²,10,500,27701,116317,0.37,509.70
Exchanger,plate and frame,area,m²,1,500,1530,67312,0.61,509.70
Filter,plate and frame,capacity,m³,0.4,1.4,158699,201108,0.19,509.70
Filter,vacuum drum,area,m²,10,180,96621,316902,0.41,509.70
Furnace,cylindrical,duty,MW,0.2,60,94163,2528890,0.58,509.70
Furnace,box,duty,MW,30,120,1480513,4412912,0.79,509.70
Packings,304 s/s Raschig rings,volume,m³,0,100,73,730000,1,509.70
Packings,ceramic Intalox saddles,volume,m³,0,100,18,180000,1,509.70
Packings,304 s/s Pall rings,volume,m³,0,100,77,770000,1,509.70
Packings,PVC structured packing,volume,m³,0,100,5,50000,1,509.70
Packings,304 s/s structured packing,volume,m³,0,100,69,690000,1,509.70
Pressure vessels,"vertical, c/s",shell mass,kg,160,250000,12167,1133691,0.62,509.70
Pressure vessels,"horizontal, c/s",shell mass,kg,160,50000,10818,275172,0.56,509.70
Pressure vessels,"vertical, 304 s/s",shell mass,kg,120,250000,18979,2649862,0.65,509.70
Pressure vessels,"horizontal, 304 s/s",shell mass,kg,120,50000,14687,632534,0.62,509.70
Pumps and drivers,single stage centrifugal,flow ,liters/s,0.2,126,6948,22903,0.19,509.70
Pumps and drivers,explosion proof motor,power,kW,1,2500,820,192575,0.7,509.70
Pumps and drivers,condensing steam turbine,power,kW,100,20000,39545,2729322,0.8,509.70
Reactor,"jacketed, agitated",volume,m³,0.5,100,69082,1167700,0.53,509.70
Reactor,"jacketed, agitated, glass-lined",volume,m³,0.5,25,68597,286416,0.37,509.70
Tank,floating roof,capacity,m³,100,10000,152867,1211700,0.45,509.70
Tank,cone roof,capacity,m³,10,4000,12017,470125,0.61,509.70
Tray,sieve tray,diameter,m,0.5,5,219,6995,1.5,509.70
Tray,valve tray,diameter,m,0.5,5,271,7416,1.44,509.70
Tray,bubble cap tray,diameter,m,0.5,5,437,11996,1.44,509.70
Utilities,cooling tower & pump,flow ,liters/s,100,10000,232024,5325393,0.68,509.70
